"ID"	"Gender"	"Age"	"Org_type"	"Role"	"info_work"	"info_org"	"info_vision"	"info_change"	"info_intracomm"	"info_mgmttrust"
2	2	1981	2	2	2	2	2	2	2	2
3	1	1967	2	1	2	4	5	2	2	4
4	1	1956	2	2	5	5	4	5	4	5
5	1	1985	2	2	5	4	4	4	3	4
6	1	1964	2	2	4	4	4	4	4	5
7	2	1979	2	2	4	4	4	3	3	5
9	2	1956	2	2	4	4	4	4	4	5
10	1	1971	2	3	2	2	5	4	2	4
11	2	1987	2	2	5	5	4	4	4	4
12	1	1977	2	3	4	5	4	4	2	5
14	2	1970	2	2	4	2	3	2	1	3
16	2	1956	2	1	2	4	4	3	2	4
18	2	1961	2	1	5	5	4	5	4	5
19	2	1955	2	2	5	2	4	2	2	4
20	2	1966	2	2	5	4	4	4	3	5
21	1	1974	2	3	4	4	5	3	1	4
22	1	1968	2	2	4	3	3	4	3	3
23	2	1963	2	1	4	5	4	3	3	5
24	2	1977	2	2	4	4	4	4	3	4
25	1	1969	2	2	3	2	5	4	4	5
26	1	1975	2	2	4	4	4	4	3	4
28	2	1951	2	1	5	5	5	4	4	5
29	1	1956	2	2	5	4	3	3	3	5
30	2	1965	2	2	4	3	3	3	2	4
31	2	1966	2	2	2	3	5	4	1	3
32	2	1959	2	2	5	5	5	5	4	5
33	1	1974	2	1	4	4	5	4	2	5
34	2	1990	2	2	4	4	4	4	4	5
35	1	1963	2	2	5	3	2	4	3	5
36	2	1961	2	2	4	3	1	1	4	2
37	2	1965	2	2	5	5	4	4	4	5
38	2	1958	2	2	5	4	4	4	3	5
39	1	1969	2	2	4	5	5	4	4	5
40	2	1953	2	2	4	4	4	4	4	4
41	2	1975	2	2	4	3	2	3	2	5
42	1	1960	2	1	4	4	5	4	3	5
43	2	1972	2	2	4	5	4	5	2	4
44	2	1953	2	2	4	4	4	4	4	4
45	2	1966	2	1	4	4	2	2	3	5
46	2	1969	2	3	4	4	2	3	4	4
48	1	1981	2	2	4	4	2	2	2	3
49	2	1956	2	1	4	4	5	4	3	4
50	1	1972	2	2	5	4	5	5	4	5
51	2	1964	2	1	5	4	4	5	4	5
52	1	1982	2	2	2	2	2	2	1	2
53	1	1973	2	2	4	5	5	5	4	5
54	2	1957	2	2	4	4	4	4	2	3
55	1	1971	2	2	4	5	2	5	2	5
56	2	1966	2	1	2	4	4	3	3	4
57	2	1970	2	1	4	3	4	4	1	4
58	2	1953	2	2	4	3	4	4	4	4
59	2	1976	2	3	2	2	2	2	1	4
60	1	1970	2	1	5	2	5	4	2	4
61	2	1963	2	1	4	4	4	4	4	4
62	2	1969	2	1	4	4	4	4	2	4
63	2	1963	2	1	4	4	3	4	2	5
64	1	1979	2	2	5	4	4	5	3	2
65	2	1971	2	2	5	5	5	5	4	5
66	2	1962	2	2	5	2	2	2	2	1
67	1	1979	2	2	4	2	3	3	1	2
69	1	1970	2	2	4	4	3	5	4	4
70	2	1963	2	2	4	5	5	5	5	5
71	2	1971	2	1	5	5	5	5	5	5
72	1	1969	2	1	4	4	5	4	2	5
73	2	1975	2	2	5	4	4	5	2	4
74	2	1965	2	2	4	4	4	3	3	5
75	1	1980	2	2	5	5	4	5	4	5
76	1	1968	2	1	4	4	3	3	4	4
77	2	1951	2	2	4	4	4	2	4	4
78	2	1969	2	2	4	4	4	2	2	4
79	1	1973	2	2	4	2	1	2	2	4
80	2	1971	2	1	3	2	3	2	1	2
81	1	1978	2	2	4	3	3	2	2	3
82	2	1955	2	2	5	5	5	5	5	5
