"ID"	"Gender"	"Age"	"Org_type"	"Role"	"info_work"	"info_org"	"info_vision"	"info_change"	"info_intracomm"	"info_mgmttrust"	"info_mgmttocow"	"info_cowtomgmt"	"org_openmind"	"org_intracommtrust"	"org_participation"	"org_gossip"	"org_discuss_mediaimage"	"org_discuss_news"	"org_discuss_meetings"	"org_email"	"org_discuss_socmedia"	"org_discuss_consumer"	"cow_com_dialogue"	"cow_com_criticism"	"cow_com_feedback"	"cow_com_checkinfo"	"cow_com_speakwell"	"rarversioncow_com_responsibility"	"extcomm"	"femcomm_performance"	"femcomm_mgmt"	"femcomm_opportunity"	"femcomm_support"	"femcomm_barriers"	"publicimage_competence"	"publicImage_responsibility"	"publicImage_openess"	"publicImage_efficiency"	"publicImage_credibility"	"publicImage_visibility"	"stakeholderimage_competence"	"stakeholderimage_responsibility"	"stakeholmderimage_openess"	"stakeholderimage_efficiency"	"stakeholderimage_credibility"	"stakeholderimage_visibility"	"mediaimage_correct"	"mediaimage_fair"	"mediaimage_nuance"	"socialmediaimage_correct"	"socialmediaimage_fair"	"socialmediaimage_nuance"	"mediaimage_feeling"	"mediaimage_workeffect"	"mediaimage_importance"	"mediaimage_reactions"	"mediaimage_fakenews"
1	1	1951	2	2	NA	NA	NA	NA	NA	NA	NA	NA	4	5	3	5	4	3	4	5	3	5	4	4	4	5	5	4	5	NA	NA	NA	NA	NA	5	5	5	4	4	4	5	5	5	5	5	5	4	4	4	NA	NA	NA	4	3	1	1	4
2	2	1981	2	2	2	2	2	2	2	2	4	3	4	4	3	5	1	2	5	1	1	1	4	5	4	4	4	4	NA	NA	NA	NA	NA	NA	2	2	2	2	2	4	3	3	3	3	3	3	2	2	2	1	1	1	4	3	2	1	5
3	1	1967	2	1	2	4	5	2	2	4	NA	1	2	4	2	1	5	5	2	NA	4	4	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	5	4	4	2	4	3	5	5	5	4	4	5	3	2	2	2	2	1	2	3	5	5	5
4	1	1956	2	2	5	5	4	5	4	5	1	1	4	5	4	4	4	3	4	5	3	4	5	5	4	5	5	5	4	NA	NA	NA	NA	NA	5	5	5	5	5	5	5	5	4	4	5	5	4	4	4	NA	NA	NA	4	3	3	1	2
5	1	1985	2	2	5	4	4	4	3	4	3	3	4	NA	3	1	2	2	4	4	4	4	5	5	3	5	4	4	4	NA	NA	NA	NA	NA	4	4	4	4	4	5	4	4	4	4	4	4	4	4	3	4	4	4	3	3	3	4	4
6	1	1964	2	2	4	4	4	4	4	5	5	5	4	4	4	NA	3	4	5	5	3	5	5	5	4	5	NA	5	5	NA	NA	NA	NA	NA	5	5	5	NA	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	NA	NA	5	4
7	2	1979	2	2	4	4	4	3	3	5	1	1	3	5	4	3	2	2	4	1	1	5	4	4	3	5	5	2	3	NA	NA	NA	NA	NA	4	4	2	4	3	2	5	5	4	5	5	4	2	3	2	NA	NA	NA	2	3	3	2	4
8	2	1959	2	2	5	4	5	4	3	NA	4	NA	2	3	3	3	5	5	2	5	5	5	NA	NA	NA	5	4	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	5	5	5	3	4	NA	3	4	NA	3	4	3	5	5	4
9	2	1956	2	2	4	4	4	4	4	5	4	4	4	4	4	4	5	5	4	3	2	5	5	5	5	5	4	4	5	NA	NA	NA	NA	NA	5	5	4	4	5	5	5	5	4	4	5	5	4	4	4	4	4	4	4	3	4	4	4
10	1	1971	2	3	2	2	5	4	2	4	4	4	3	5	2	5	5	4	2	2	3	4	4	4	2	5	5	4	5	2	4	NA	NA	NA	2	2	2	2	2	2	4	4	3	4	4	4	5	5	4	NA	NA	NA	4	5	5	5	5
11	2	1987	2	2	5	5	4	4	4	4	2	2	5	4	5	3	4	4	3	4	3	4	4	4	4	5	5	4	3	NA	NA	NA	NA	NA	4	4	4	4	5	5	5	5	3	4	5	5	4	5	3	NA	NA	NA	4	3	1	3	3
12	1	1977	2	3	4	5	4	4	2	5	2	4	4	5	4	4	3	3	2	1	2	4	4	4	4	5	4	4	5	2	4	4	3	5	4	5	3	4	4	4	5	5	5	2	4	4	4	4	4	4	4	4	2	2	4	2	5
13	2	1958	2	2	4	3	3	4	NA	4	4	NA	4	3	4	4	4	4	3	NA	NA	NA	5	5	4	4	NA	NA	3	NA	NA	NA	NA	NA	4	4	3	4	4	3	4	4	3	4	4	4	4	4	4	NA	NA	NA	3	3	3	2	4
14	2	1970	2	2	4	2	3	2	1	3	1	1	2	4	3	1	5	5	1	1	2	1	4	4	3	4	4	1	4	NA	NA	NA	NA	NA	5	5	4	3	4	3	4	5	4	3	4	5	2	4	4	4	5	4	5	3	1	1	5
15	1	1973	2	2	5	4	5	4	4	NA	1	1	5	5	5	4	4	4	4	4	4	5	5	5	5	5	5	4	4	NA	NA	NA	NA	NA	5	5	4	5	5	5	NA	NA	NA	NA	NA	NA	4	4	4	NA	NA	NA	3	3	3	2	4
16	2	1956	2	1	2	4	4	3	2	4	2	2	4	4	4	2	2	3	3	2	1	3	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	4	4	4	2	3	2	4	4	4	2	3	2	4	4	4	NA	NA	NA	3	4	4	3	3
17	1	1983	2	3	4	4	2	2	2	NA	4	2	2	4	4	4	5	5	4	1	3	5	5	5	4	4	2	2	5	5	4	NA	NA	5	5	5	4	4	3	3	5	5	2	2	5	4	3	2	1	3	4	2	2	1	5	4	5
18	2	1961	2	1	5	5	4	5	4	5	1	1	5	5	5	1	4	4	5	4	3	4	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	5	5	4	4	5	4	5	5	4	5	5	4	4	4	4	NA	NA	NA	3	4	4	3	4
19	2	1955	2	2	5	2	4	2	2	4	3	2	4	4	3	2	3	3	4	4	1	4	4	4	4	4	4	4	4	NA	NA	NA	NA	NA	4	4	3	4	2	2	5	5	3	4	4	4	2	2	2	NA	NA	NA	2	3	2	2	4
20	2	1966	2	2	5	4	4	4	3	5	1	1	5	5	4	1	3	3	3	5	1	4	4	4	3	4	5	4	4	NA	NA	NA	NA	NA	4	5	4	4	4	5	5	5	4	4	5	4	2	3	3	NA	NA	NA	3	3	3	3	3
21	1	1974	2	3	4	4	5	3	1	4	NA	NA	2	5	4	3	2	2	4	2	5	5	4	4	5	4	5	2	5	4	4	4	3	4	5	5	2	1	4	4	5	5	5	2	5	4	5	3	4	5	5	3	3	3	5	5	4
22	1	1968	2	2	4	3	3	4	3	3	NA	2	2	5	3	2	4	4	2	3	3	2	5	4	5	5	5	4	5	NA	NA	NA	NA	NA	4	4	4	4	4	5	4	5	4	4	5	5	3	3	3	NA	NA	NA	4	3	4	3	3
23	2	1963	2	1	4	5	4	3	3	5	NA	1	4	5	1	4	4	4	4	3	1	2	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	5	5	4	4	5	4	5	5	4	3	5	4	4	4	4	NA	NA	NA	3	3	3	4	4
24	2	1977	2	2	4	4	4	4	3	4	NA	NA	4	4	4	3	3	3	3	4	4	5	4	4	5	3	3	4	3	NA	NA	NA	NA	NA	5	4	2	4	3	3	5	4	4	4	5	3	4	3	3	4	3	3	3	3	2	3	3
25	1	1969	2	2	3	2	5	4	4	5	2	NA	2	5	5	1	4	4	1	1	3	5	4	4	3	5	4	4	5	NA	NA	NA	NA	NA	5	5	3	5	4	5	5	5	5	5	5	5	4	4	4	NA	NA	NA	5	NA	5	2	5
26	1	1975	2	2	4	4	4	4	3	4	2	2	4	4	3	3	2	2	3	4	1	2	4	4	3	4	4	3	4	NA	NA	NA	NA	NA	3	3	2	2	4	4	3	4	4	2	4	4	4	4	4	NA	NA	NA	3	3	4	2	4
27	2	1949	2	2	4	4	4	3	2	NA	4	1	3	3	4	NA	4	3	3	5	2	5	5	5	4	4	NA	NA	3	NA	NA	NA	NA	NA	4	4	4	2	4	5	4	5	5	4	4	5	4	2	2	NA	NA	NA	4	3	3	4	4
28	2	1951	2	1	5	5	5	4	4	5	4	4	4	4	5	1	4	4	3	4	3	5	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	5	5	4	4	5	4	5	5	5	5	5	4	5	5	5	NA	NA	NA	5	5	5	4	5
29	1	1956	2	2	5	4	3	3	3	5	5	3	4	4	4	3	3	4	4	3	1	3	5	4	4	5	3	3	4	NA	NA	NA	NA	NA	5	5	5	4	5	5	5	5	5	4	5	5	4	4	4	NA	NA	NA	3	3	3	3	2
30	2	1965	2	2	4	3	3	3	2	4	2	1	4	4	4	3	4	2	2	2	3	4	4	4	4	4	NA	3	4	NA	NA	NA	NA	NA	5	4	2	2	3	1	4	4	2	1	4	2	4	4	3	4	3	2	4	3	5	4	5
31	2	1966	2	2	2	3	5	4	1	3	NA	4	1	4	2	3	3	4	1	4	1	2	4	4	4	5	5	3	4	NA	NA	NA	NA	NA	5	5	3	4	5	3	5	5	5	5	5	5	5	5	5	NA	NA	NA	4	3	3	2	3
32	2	1959	2	2	5	5	5	5	4	5	2	1	5	5	5	2	5	5	4	4	4	4	5	5	4	5	5	5	5	NA	NA	NA	NA	NA	5	5	2	4	3	3	5	5	4	5	4	4	4	4	3	2	2	2	4	3	5	5	5
33	1	1974	2	1	4	4	5	4	2	5	1	1	4	4	4	2	4	4	4	2	2	5	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	4	4	4	4	5	4	4	5	4	4	5	5	5	5	4	4	4	4	5	5	5	4	5
34	2	1990	2	2	4	4	4	4	4	5	3	3	1	4	3	3	4	4	3	3	1	5	4	3	4	4	3	1	NA	NA	NA	NA	NA	NA	4	4	4	5	3	5	NA	NA	NA	NA	NA	NA	2	3	3	3	3	3	4	3	4	4	5
35	1	1963	2	2	5	3	2	4	3	5	2	2	4	5	4	2	5	5	3	2	1	4	5	5	3	5	4	4	5	NA	NA	NA	NA	NA	5	4	2	3	4	2	5	4	3	4	5	4	4	4	4	3	3	2	3	3	5	4	4
36	2	1961	2	2	4	3	1	1	4	2	4	4	1	3	4	2	1	2	3	4	4	2	4	4	3	4	4	NA	4	NA	NA	NA	NA	NA	5	4	2	3	4	3	5	5	2	3	4	4	4	3	3	NA	NA	NA	3	2	3	3	3
37	2	1965	2	2	5	5	4	4	4	5	1	1	5	5	5	1	1	1	3	5	1	3	5	4	4	5	5	5	4	NA	NA	NA	NA	NA	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	NA	NA	NA	5	5	5	3	5
38	2	1958	2	2	5	4	4	4	3	5	3	3	2	NA	4	NA	5	4	3	5	5	5	4	4	4	5	5	5	5	NA	NA	NA	NA	NA	5	4	3	4	5	4	4	4	4	4	3	3	NA	NA	2	NA	NA	NA	2	2	5	5	5
39	1	1969	2	2	4	5	5	4	4	5	2	1	4	5	5	2	2	3	4	5	3	5	5	5	4	5	5	4	5	NA	NA	NA	NA	NA	5	5	4	5	4	5	5	5	5	4	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	2	1953	2	2	4	4	4	4	4	4	NA	NA	2	4	4	3	4	5	1	NA	1	4	5	5	5	5	5	NA	NA	NA	NA	NA	NA	NA	5	5	4	4	NA	5	5	5	NA	4	4	5	NA	4	4	NA	NA	NA	4	3	3	4	5
41	2	1975	2	2	4	3	2	3	2	5	NA	NA	4	3	3	1	3	3	4	3	1	3	4	4	3	4	4	3	4	NA	NA	NA	NA	NA	4	4	2	4	4	2	4	4	3	3	4	2	4	3	3	NA	NA	NA	3	3	4	1	NA
42	1	1960	2	1	4	4	5	4	3	5	NA	NA	5	5	5	3	5	5	2	2	2	3	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	5	4	3	4	4	4	5	5	5	4	5	4	4	4	4	NA	NA	NA	2	2	5	4	4
43	2	1972	2	2	4	5	4	5	2	4	3	5	4	4	4	4	4	4	4	5	2	5	4	5	4	5	4	4	5	NA	NA	NA	NA	NA	5	4	2	3	4	4	4	5	2	2	5	3	4	4	3	NA	NA	NA	3	3	3	2	3
