"ID"	"VAR00"	"VAR01_1_1"	"VAR01_2_1"	"VAR01_3_1"	"VAR01_4_1"	"VAR01_5_1"	"VAR01_6_1"	"VAR01_7_1"	"VAR02_1"	"VAR02_2"	"VAR02_3"	"VAR02_4"	"VAR02_5"	"VAR02_6"	"VAR02_7"	"VAR02_8"	"VAR03"	"VAR04_1_1"	"VAR04_2_1"	"VAR04_3_1"	"VAR04_4_1"	"VAR04_5_1"	"VAR04_6_1"	"VAR04_7_1"	"VAR05_1"	"VAR05_2"	"VAR05_3"	"VAR05_4"	"VAR05_5"	"VAR05_6"	"VAR05_7"	"VAR05_8"	"VAR06"	"VAR07_1_1"	"VAR07_2_1"	"VAR07_3_1"	"VAR07_4_1"	"VAR07_5_1"	"VAR07_6_1"	"VAR07_7_1"	"VAR08_1"	"VAR08_2"	"VAR08_3"	"VAR08_4"	"VAR08_5"	"VAR08_6"	"VAR08_7"	"VAR08_8"	"VAR09"	"VAR10_1_1"	"VAR10_2_1"	"VAR10_3_1"	"VAR10_4_1"	"VAR10_5_1"	"VAR10_6_1"	"VAR10_7_1"	"VAR11_1"	"VAR11_2"	"VAR11_3"	"VAR11_4"	"VAR11_5"	"VAR11_6"	"VAR11_7"	"VAR11_8"	"VAR12"	"VAR13_1_1"	"VAR13_2_1"	"VAR13_3_1"	"VAR13_4_1"	"VAR13_5_1"	"VAR13_6_1"	"VAR13_7_1"	"VAR14_1"	"VAR14_2"	"VAR14_3"	"VAR14_4"	"VAR14_5"	"VAR14_6"	"VAR14_7"	"VAR14_8"	"VAR15_1"	"VAR15_2"	"VAR15_3"	"VAR15_4"	"VAR15_5"	"VAR16"	"VAR17"	"VAR18"	"VAR19_1"	"VAR19_2"	"VAR19_3"	"VAR19_4"	"VAR19_5"	"VAR20"	"VAR21"	"VAR22"	"VAR23"	"VAR24"
1	1	30	20	20	0	20	10	NA	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	40	20	20	0	10	10	NA	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	3	999	999	999	4	5	5	2	1	2	1	2	3	4	4	1	4
2	1	20	15	25	10	10	10	10	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	35	20	10	5	10	15	5	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	2	999	999	999	3	4	4	2	2	2	1	2	3	4	5	1	2
3	1	45	20	10	5	10	10	NA	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	1	50	20	10	10	5	5	NA	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	2	999	999	999	4	5	4	2	2	2	2	1	3	4	4	2	3
4	1	20	10	20	20	10	10	10	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	1	30	10	15	15	10	10	10	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	1	30	10	15	15	10	10	10	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	1	30	10	15	15	10	10	10	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	1	30	10	15	15	10	10	10	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	2	3	4	4	4	5	5	1	999	999	999	999	999	4	4	5	2	2
5	1	25	0	25	0	25	12	13	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	35	10	5	0	35	10	5	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	2	2	2	2	4	4	4	1	1	2	1	2	2	4	5	1	5
6	1	20	0	60	0	20	0	NA	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	30	0	30	0	30	10	NA	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	1	30	0	30	0	30	10	NA	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	1	40	0	30	0	20	10	NA	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	1	40	0	30	0	20	10	NA	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	3	4	1	2	1	5	5	4	2	1	1	2	2	4	4	4	1	4
7	1	20	15	20	10	15	15	5	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	1	25	15	20	10	15	10	5	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	2	999	999	999	5	5	4	1	2	1	1	1	4	4	4	1	4
8	1	35	15	15	5	20	10	NA	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	35	10	10	5	25	15	NA	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	2	999	999	999	5	4	4	2	1	1	2	2	2	4	4	1	4
9	1	40	20	20	2	10	8	0	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	1	1	1	1	3	4	2	2	1	2	2	2	1	3	5	2	4
10	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	40	20	NA	NA	30	5	5	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	1	40	20	NA	NA	30	5	5	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	999	999	2	2	999	2	4	3	2	1	2	1	2	1	1	5	2	3
